state,crop,season,N,P,K,pH,water_requirement,soil,temperature_c,irrigation_method,input_cost_per_ha,yield_q_ha
Andhra Pradesh,Coriander,Rabi,37,21,19,6.9,381,Red,17-26,Sprinkler,38662.8,11.4588
Andhra Pradesh,Coriander,Rabi,38,17,18,7.0,363,Red,16-28,Sprinkler,37815.14,12.7173
Andhra Pradesh,Cotton,Kharif,111,58,58,6.8,955,Black,20-32,Rainified,63897.04,6.2933
Andhra Pradesh,Cotton,Kharif,115,65,57,7.0,1009,Black,19-34,Rainified,63864.52,6.0981
Andhra Pradesh,Cotton,Kharif,119,58,51,6.5,895,Black,21-30,Rainified,63630.33,6.7623
Andhra Pradesh,Cotton,Kharif,112,65,58,7.3,966,Alluvial,20-29,Rainified,63467.91,5.9847
Andhra Pradesh,Cotton,Kharif,127,62,51,7.4,985,Alluvial,19-29,Rainified,62330.85,6.5451
Andhra Pradesh,Cotton,Kharif,124,57,62,7.0,916,Alluvial,18-29,Rainified,61976.9,5.5567
Andhra Pradesh,Cucumber,Zaid,99,46,54,6.3,436,Alluvial,20-28,Drip,61231.36,207.2359
Andhra Pradesh,Cucumber,Zaid,89,51,49,5.9,437,Alluvial,21-30,Drip,61273.07,197.1741
Andhra Pradesh,Cucumber,Zaid,85,52,50,6.4,442,Alluvial,18-26,Drip,61258.1,192.0467
Andhra Pradesh,Cucumber,Zaid,103,48,55,6.3,418,Arid,20-29,Drip,62610.38,149.4218
Andhra Pradesh,Cucumber,Zaid,94,51,49,6.0,436,Arid,18-27,Drip,60949.27,162.5826
Andhra Pradesh,Cucumber,Zaid,101,47,56,6.5,443,Arid,18-27,Drip,60530.94,154.9007
Andhra Pradesh,Green Gram,Kharif,20,40,21,6.5,316,Alluvial,24-33,Rainified,24599.69,8.225900000000001
Andhra Pradesh,Green Gram,Kharif,20,42,18,6.8,309,Alluvial,24-35,Rainified,24454.51,8.9626
Andhra Pradesh,Green Gram,Kharif,20,46,20,6.6,298,Alluvial,23-32,Rainified,24895.97,8.4815
Andhra Pradesh,Green Gram,Kharif,19,38,20,6.9,326,Red,24-34,Rainified,24002.71,6.3074
Andhra Pradesh,Green Gram,Kharif,22,37,18,6.9,337,Red,26-33,Rainified,24496.97,6.4007
Andhra Pradesh,Green Gram,Kharif,20,32,19,7.0,319,Red,23-36,Rainified,23765.63,5.977
Andhra Pradesh,Green Gram,Kharif,18,39,19,6.6,294,Black,23-33,Rainified,24471.04,6.465
Andhra Pradesh,Green Gram,Kharif,17,33,18,6.5,300,Black,24-31,Rainified,23728.84,6.1408
Andhra Pradesh,Green Gram,Kharif,19,39,17,6.6,274,Black,24-32,Rainified,24125.23,6.4646
Andhra Pradesh,Green Gram,Rabi,19,41,18,6.9,279,Alluvial,27-34,Sprinkler,30836.16,8.225900000000001
Andhra Pradesh,Green Gram,Rabi,22,42,18,6.5,294,Alluvial,26-32,Sprinkler,30644.4,8.3742
Andhra Pradesh,Green Gram,Rabi,20,45,20,6.8,259,Alluvial,27-32,Sprinkler,31924.18,7.6249
Andhra Pradesh,Green Gram,Rabi,18,38,19,7.0,273,Red,24-34,Sprinkler,30695.39,6.3074
Andhra Pradesh,Green Gram,Rabi,21,40,19,6.8,284,Red,25-35,Sprinkler,30633.78,6.4648
Andhra Pradesh,Green Gram,Rabi,16,37,19,6.7,288,Red,22-34,Sprinkler,31267.68,6.8175
Andhra Pradesh,Green Gram,Rabi,21,42,20,7.1,286,Black,24-36,Sprinkler,31074.86,6.465
Andhra Pradesh,Green Gram,Rabi,23,43,20,7.4,268,Black,26-36,Sprinkler,31506.25,6.7779
Andhra Pradesh,Green Gram,Rabi,21,48,18,7.2,272,Black,22-37,Sprinkler,31883.78,6.5802
Andhra Pradesh,Green Gram,Zaid,19,40,21,7.0,283,Alluvial,25-36,Sprinkler,31290.79,8.225900000000001
Andhra Pradesh,Green Gram,Zaid,21,38,22,7.0,309,Alluvial,26-34,Sprinkler,31378.86,7.9226
Andhra Pradesh,Green Gram,Zaid,19,45,23,6.9,257,Alluvial,25-38,Sprinkler,30957.43,8.5639
Andhra Pradesh,Green Gram,Zaid,22,41,19,6.9,274,Red,24-34,Sprinkler,31187.75,6.3074
Andhra Pradesh,Green Gram,Zaid,22,41,18,6.8,260,Red,24-34,Sprinkler,31141.55,6.636
Andhra Pradesh,Green Gram,Zaid,20,39,17,6.5,258,Red,26-35,Sprinkler,30661.29,6.4872
Andhra Pradesh,Green Gram,Zaid,20,36,21,6.8,270,Black,24-37,Sprinkler,30978.03,6.465
Andhra Pradesh,Green Gram,Zaid,20,31,21,7.0,289,Black,22-35,Sprinkler,30370.86,6.5588
Andhra Pradesh,Green Gram,Zaid,22,36,20,6.9,296,Black,23-39,Sprinkler,31633.47,6.1512
Andhra Pradesh,Groundnut,Kharif,25,48,77,7.1,580,Red,19-31,Rainified,39289.2,10.7344
Andhra Pradesh,Groundnut,Kharif,26,45,82,7.2,560,Red,20-33,Rainified,39567.18,11.5866
Andhra Pradesh,Groundnut,Kharif,24,55,80,7.2,532,Red,17-29,Rainified,41016.1,11.0117
Andhra Pradesh,Groundnut,Kharif,26,45,71,6.8,537,Alluvial,22-30,Rainified,39113.64,12.6607
Andhra Pradesh,Groundnut,Kharif,25,43,64,7.2,536,Alluvial,21-28,Rainified,39193.4,11.849
Andhra Pradesh,Groundnut,Kharif,27,42,66,6.5,503,Alluvial,24-28,Rainified,38780.59,11.9008
Andhra Pradesh,Groundnut,Rabi,24,53,81,6.8,513,Red,20-28,Sprinkler,50796.41,10.7344
Andhra Pradesh,Groundnut,Rabi,23,59,71,6.5,490,Red,21-26,Sprinkler,52137.93,11.4216
Andhra Pradesh,Groundnut,Rabi,24,52,92,6.6,476,Red,18-26,Sprinkler,51913.64,9.7867
Andhra Pradesh,Groundnut,Rabi,25,46,74,6.9,598,Alluvial,20-28,Sprinkler,50468.47,12.6607
Andhra Pradesh,Groundnut,Rabi,26,51,83,7.2,653,Alluvial,18-29,Sprinkler,51476.85,13.5374
Andhra Pradesh,Groundnut,Rabi,22,45,84,6.7,609,Alluvial,20-27,Sprinkler,51458.15,13.5179
Andhra Pradesh,Jute,Kharif,61,32,30,6.2,478,Alluvial,22-37,Rainified,43501.94,32.666599999999995
Andhra Pradesh,Jute,Kharif,52,35,30,6.2,446,Alluvial,23-38,Rainified,43506.23,30.8811
Andhra Pradesh,Jute,Kharif,65,37,34,6.2,525,Alluvial,20-35,Rainified,43838.79,32.4031
Andhra Pradesh,Maize,Kharif,116,59,41,6.5,590,Alluvial,20-29,Rainified,34920.91,47.8978
Andhra Pradesh,Maize,Kharif,116,66,38,6.4,637,Alluvial,19-28,Rainified,35698.07,45.2379
Andhra Pradesh,Maize,Kharif,128,59,38,6.5,599,Alluvial,20-29,Rainified,35692.01,48.9818
Andhra Pradesh,Maize,Kharif,126,55,42,6.4,657,Red,17-28,Rainified,34964.46,34.7384
Andhra Pradesh,Maize,Kharif,119,54,40,6.6,599,Red,18-29,Rainified,35262.7,33.7553
Andhra Pradesh,Maize,Kharif,140,61,41,6.7,596,Red,18-30,Rainified,36328.85,33.36
Andhra Pradesh,Maize,Rabi,124,60,37,6.4,603,Alluvial,17-27,Furrow,41593.6,47.8978
Andhra Pradesh,Maize,Rabi,125,61,36,6.7,563,Alluvial,16-26,Furrow,40716.66,44.6744
Andhra Pradesh,Maize,Rabi,110,64,34,6.8,545,Alluvial,15-29,Furrow,41283.47,49.7957
Andhra Pradesh,Maize,Rabi,116,61,37,6.3,624,Red,18-27,Furrow,41558.78,34.7384
Andhra Pradesh,Maize,Rabi,121,60,42,6.2,678,Red,16-25,Furrow,41303.03,34.3851
Andhra Pradesh,Maize,Rabi,107,57,40,6.4,640,Red,16-28,Furrow,41129.12,36.3425
Andhra Pradesh,Mango,Zaid,94,52,109,6.4,1181,Alluvial,23-30,Drip,76089.79,116.0443
Andhra Pradesh,Mango,Zaid,102,48,125,6.4,1290,Alluvial,24-29,Drip,77307.99,112.6826
Andhra Pradesh,Mango,Zaid,87,51,107,6.7,1257,Alluvial,22-29,Drip,75377.82,109.4614
Andhra Pradesh,Mango,Zaid,97,48,104,6.5,1131,Red,22-31,Drip,75508.44,87.4217
Andhra Pradesh,Mango,Zaid,86,45,89,6.1,1195,Red,22-32,Drip,74107.43,95.9337
Andhra Pradesh,Mango,Zaid,96,47,117,6.7,1112,Red,22-30,Drip,78079.28,91.8243
Andhra Pradesh,Mango,Zaid,99,48,91,6.8,1230,Laterite,23-31,Drip,75917.94,88.0774
Andhra Pradesh,Mango,Zaid,93,52,100,6.9,1300,Laterite,23-30,Drip,76596.95,94.1585
Andhra Pradesh,Mango,Zaid,91,53,80,6.7,1155,Laterite,21-31,Drip,76727.04,85.1059
Andhra Pradesh,Rice,Kharif,117,62,40,5.5,1429,Alluvial,23-37,Rainified,44664.35,37.2471
Andhra Pradesh,Rice,Kharif,102,62,42,5.6,1453,Alluvial,25-36,Rainified,45170.07,35.9855
Andhra Pradesh,Rice,Kharif,132,60,42,5.7,1405,Alluvial,25-39,Rainified,45085.04,38.8886
Andhra Pradesh,Rice,Kharif,111,57,41,5.6,1356,Red,22-38,Rainified,45210.7,30.3173
Andhra Pradesh,Rice,Kharif,113,62,41,5.8,1396,Red,20-38,Rainified,44467.34,30.9415
Andhra Pradesh,Rice,Kharif,112,55,40,5.3,1414,Red,21-39,Rainified,43925.73,30.2456
Andhra Pradesh,Rice,Kharif,119,64,44,6.0,1268,Laterite,19-36,Rainified,44726.16,27.7464
Andhra Pradesh,Rice,Kharif,124,68,48,6.1,1189,Laterite,19-37,Rainified,45454.32,28.621
Andhra Pradesh,Rice,Kharif,118,62,47,6.2,1194,Laterite,19-34,Rainified,43951.57,26.6746
Andhra Pradesh,Rice,Rabi,109,57,40,5.5,1208,Alluvial,20-36,Flood,49833.07,37.2471
Andhra Pradesh,Rice,Rabi,107,63,43,5.5,1232,Alluvial,20-35,Flood,49970.48,38.7193
Andhra Pradesh,Rice,Rabi,109,58,44,5.6,1259,Alluvial,18-35,Flood,48851.91,35.2347
Andhra Pradesh,Rice,Rabi,110,59,40,5.6,1245,Red,22-37,Flood,48420.49,30.3173
Andhra Pradesh,Rice,Rabi,115,65,37,5.3,1333,Red,20-37,Flood,48651.97,29.2181
Andhra Pradesh,Rice,Rabi,118,61,45,5.9,1261,Red,22-39,Flood,48967.99,28.8354
Andhra Pradesh,Rice,Rabi,118,62,40,6.0,1331,Laterite,22-36,Flood,49977.17,27.7464
Andhra Pradesh,Rice,Rabi,108,66,37,6.3,1209,Laterite,21-34,Flood,49145.78,26.6349
Andhra Pradesh,Rice,Rabi,120,62,38,6.0,1314,Laterite,24-34,Flood,48564.29,26.8175
Andhra Pradesh,Tapioca,Whole Year,95,97,106,5.4,1071,Red,22-31,Flood,42239.48,317.0488
Andhra Pradesh,Tapioca,Whole Year,100,111,116,5.3,1115,Red,23-29,Flood,43486.99,318.8134
Andhra Pradesh,Tapioca,Whole Year,95,95,91,5.3,1081,Red,23-30,Flood,42531.64,345.1415
Andhra Pradesh,Tapioca,Whole Year,106,95,100,5.7,933,Laterite,21-30,Flood,43017.78,317.374
Andhra Pradesh,Tapioca,Whole Year,119,91,92,5.9,936,Laterite,21-32,Flood,42061.6,324.8575
Andhra Pradesh,Tapioca,Whole Year,107,100,88,6.0,842,Laterite,23-28,Flood,41323.23,285.7016
Andhra Pradesh,Tobacco,Rabi,91,46,101,6.1,480,Alluvial,19-29,Furrow,88476.62,20.5306
Andhra Pradesh,Tobacco,Rabi,85,48,87,6.3,464,Alluvial,20-29,Furrow,88827.79,20.8899
Andhra Pradesh,Tobacco,Rabi,104,47,94,6.3,517,Alluvial,19-31,Furrow,88498.65,21.9
Andhra Pradesh,Tobacco,Rabi,94,53,105,6.2,451,Red,19-30,Furrow,91265.04,16.29
Andhra Pradesh,Tobacco,Rabi,81,49,99,6.5,481,Red,17-31,Furrow,89814.04,15.502
Andhra Pradesh,Tobacco,Rabi,82,58,102,6.4,482,Red,21-30,Furrow,89215.04,14.7609
Andhra Pradesh,Tomato,Kharif,94,83,65,6.2,487,Alluvial,19-24,Rainified,59545.66,304.9514
Andhra Pradesh,Tomato,Kharif,102,73,59,6.0,454,Alluvial,21-23,Rainified,57855.88,325.5784
Andhra Pradesh,Tomato,Kharif,85,75,63,6.5,514,Alluvial,18-24,Rainified,59456.04,321.4169
Andhra Pradesh,Tomato,Kharif,95,82,60,6.3,473,Red,18-26,Rainified,58104.08,257.4225
Andhra Pradesh,Tomato,Kharif,91,88,61,6.2,517,Red,16-25,Rainified,58863.82,250.0161
Andhra Pradesh,Tomato,Kharif,85,93,61,6.6,497,Red,20-26,Rainified,59205.2,235.5458
Andhra Pradesh,Tomato,Kharif,104,79,61,6.5,481,Black,20-26,Rainified,59841.68,249.98
Andhra Pradesh,Tomato,Kharif,96,80,67,6.8,486,Black,21-27,Rainified,60115.22,260.3976
Andhra Pradesh,Tomato,Kharif,100,79,68,6.6,516,Black,20-28,Rainified,59416.41,254.3624
Andhra Pradesh,Tomato,Rabi,95,73,62,6.6,452,Alluvial,19-26,Drip,82860.82,304.9514
Andhra Pradesh,Tomato,Rabi,108,73,59,6.3,437,Alluvial,18-26,Drip,81468.57,322.5467
Andhra Pradesh,Tomato,Rabi,90,64,62,6.8,481,Alluvial,18-28,Drip,82142.0,325.8767
Andhra Pradesh,Tomato,Rabi,95,74,54,6.2,479,Red,18-25,Drip,79804.86,257.4225
Andhra Pradesh,Tomato,Rabi,102,67,57,5.8,484,Red,19-23,Drip,81886.73,257.408
Andhra Pradesh,Tomato,Rabi,109,76,61,6.6,503,Red,19-23,Drip,82227.78,266.8275
Andhra Pradesh,Tomato,Rabi,100,73,54,6.2,462,Black,20-26,Drip,82317.64,249.98
Andhra Pradesh,Tomato,Rabi,108,65,51,6.6,473,Black,20-26,Drip,81626.9,265.3817
Andhra Pradesh,Tomato,Rabi,102,80,50,6.1,475,Black,19-26,Drip,82396.91,229.8024
Andhra Pradesh,Watermelon,Zaid,93,48,53,6.5,432,Alluvial,22-28,Drip,62503.94,334.8804
Andhra Pradesh,Watermelon,Zaid,100,41,50,6.7,435,Alluvial,22-30,Drip,62345.31,317.5342
Andhra Pradesh,Watermelon,Zaid,83,48,52,6.1,444,Alluvial,23-30,Drip,62553.32,330.8262
Andhra Pradesh,Watermelon,Zaid,100,47,53,6.8,483,Arid,24-32,Drip,61376.23,359.5263
Andhra Pradesh,Watermelon,Zaid,115,48,55,6.5,494,Arid,26-30,Drip,61206.71,358.1035
Andhra Pradesh,Watermelon,Zaid,104,41,45,6.9,450,Arid,22-30,Drip,62164.9,394.7165
Arunachal Pradesh,Apple,Rabi,94,48,100,6.2,1090,Alluvial,5-19,Drip,125080.28,80.11840000000001
Arunachal Pradesh,Apple,Rabi,102,44,107,6.1,1185,Alluvial,6-17,Drip,128697.78,79.1566
Arunachal Pradesh,Apple,Rabi,93,49,90,6.6,1192,Alluvial,4-20,Drip,123636.49,85.8951
Arunachal Pradesh,Apple,Rabi,107,54,108,6.1,1062,Red,2-22,Drip,129167.72,65.5632
Arunachal Pradesh,Apple,Rabi,107,47,100,5.7,1152,Red,1-24,Drip,126666.77,65.4406
Arunachal Pradesh,Apple,Rabi,108,58,122,6.1,1114,Red,4-24,Drip,125335.82,62.2366
Arunachal Pradesh,Bajra,Kharif,84,42,40,7.1,432,Arid,24-34,Rainified,23076.92,9.4573
Arunachal Pradesh,Bajra,Kharif,96,43,40,6.8,416,Arid,25-34,Rainified,22690.47,9.1323
Arunachal Pradesh,Bajra,Kharif,73,41,35,6.9,464,Arid,25-34,Rainified,22231.13,8.7642
Arunachal Pradesh,Bajra,Kharif,75,38,43,7.3,398,Red,26-35,Rainified,22872.4,7.552799999999999
Arunachal Pradesh,Bajra,Kharif,70,41,37,7.5,396,Red,28-37,Rainified,22474.43,7.0242
Arunachal Pradesh,Bajra,Kharif,81,41,46,7.3,423,Red,26-33,Rainified,23527.62,6.904
Arunachal Pradesh,Banana,Whole Year,193,47,307,7.2,1615,Alluvial,21-29,Flood,75071.9,298.42130000000003
Arunachal Pradesh,Banana,Whole Year,182,53,337,6.8,1536,Alluvial,19-28,Flood,75434.79,268.6268
Arunachal Pradesh,Banana,Whole Year,168,46,330,7.2,1532,Alluvial,23-28,Flood,73612.14,288.7433
Arunachal Pradesh,Banana,Whole Year,214,49,280,7.3,1502,Red,21-32,Flood,72896.99,250.2932
Arunachal Pradesh,Banana,Whole Year,241,49,290,6.9,1376,Red,19-30,Flood,73566.63,268.1994
Arunachal Pradesh,Banana,Whole Year,202,51,261,7.3,1558,Red,22-31,Flood,71572.92,244.1691
Arunachal Pradesh,Chickpea,Rabi,18,41,20,7.3,314,Alluvial,17-25,Sprinkler,37032.77,8.9936
Arunachal Pradesh,Chickpea,Rabi,19,44,19,7.0,338,Alluvial,18-24,Sprinkler,37681.26,8.3989
Arunachal Pradesh,Chickpea,Rabi,19,36,18,7.0,305,Alluvial,15-25,Sprinkler,37363.02,8.7394
Arunachal Pradesh,Chickpea,Rabi,20,44,20,7.2,318,Black,14-23,Sprinkler,36499.17,7.029299999999999
Arunachal Pradesh,Chickpea,Rabi,19,45,22,7.0,306,Black,12-23,Sprinkler,36737.05,7.175
Arunachal Pradesh,Chickpea,Rabi,23,44,20,7.4,330,Black,13-21,Sprinkler,37023.04,7.2667
Arunachal Pradesh,Chickpea,Rabi,22,43,22,7.6,327,Red,16-27,Sprinkler,37441.64,6.684
Arunachal Pradesh,Chickpea,Rabi,19,49,19,7.4,321,Red,18-28,Sprinkler,37057.26,6.3797
Arunachal Pradesh,Chickpea,Rabi,20,48,23,7.5,303,Red,14-28,Sprinkler,37799.06,6.2562
Arunachal Pradesh,Ginger,Kharif,68,47,55,6.5,1276,Alluvial,18-30,Rainified,67216.43,27.3645
Arunachal Pradesh,Ginger,Kharif,73,51,50,6.3,1196,Alluvial,17-28,Rainified,65938.96,28.3461
Arunachal Pradesh,Ginger,Kharif,66,53,59,6.2,1361,Alluvial,17-32,Rainified,65865.06,25.4694
Arunachal Pradesh,Ginger,Kharif,72,52,46,6.4,1251,Red,19-29,Rainified,65633.96,22.453000000000003
Arunachal Pradesh,Ginger,Kharif,72,46,41,6.6,1224,Red,21-30,Rainified,67207.84,21.3666
Arunachal Pradesh,Ginger,Kharif,62,59,44,6.5,1224,Red,18-30,Rainified,67630.89,20.798
Arunachal Pradesh,Ginger,Kharif,74,49,52,6.4,1245,Laterite,21-30,Rainified,67217.81,21.874
Arunachal Pradesh,Ginger,Kharif,80,56,46,6.4,1246,Laterite,21-29,Rainified,67568.71,23.4456
Arunachal Pradesh,Ginger,Kharif,68,45,54,6.2,1148,Laterite,20-28,Rainified,67168.72,21.0955
Arunachal Pradesh,Green Gram,Kharif,18,44,18,6.8,301,Alluvial,25-34,Rainified,24836.38,4.8382
Arunachal Pradesh,Green Gram,Kharif,19,47,18,7.0,310,Alluvial,25-35,Rainified,24451.15,4.808
Arunachal Pradesh,Green Gram,Kharif,20,41,19,7.2,298,Alluvial,25-35,Rainified,24808.8,4.8589
Arunachal Pradesh,Green Gram,Kharif,21,42,19,6.7,294,Red,27-33,Rainified,24072.19,3.8004
Arunachal Pradesh,Green Gram,Kharif,20,48,20,6.4,282,Red,28-34,Rainified,24728.9,4.0239
Arunachal Pradesh,Green Gram,Kharif,24,46,22,6.6,270,Red,28-35,Rainified,24947.3,4.1096
Arunachal Pradesh,Green Gram,Kharif,22,40,20,6.6,326,Black,27-37,Rainified,24456.38,3.7035
Arunachal Pradesh,Green Gram,Kharif,23,39,23,6.9,303,Black,26-35,Rainified,24074.68,4.0033
Arunachal Pradesh,Green Gram,Kharif,22,41,19,6.8,294,Black,29-38,Rainified,24798.15,3.9624
Arunachal Pradesh,Green Gram,Rabi,21,38,20,6.8,310,Alluvial,25-35,Sprinkler,30525.96,4.8382
Arunachal Pradesh,Green Gram,Rabi,20,38,17,6.9,279,Alluvial,25-35,Sprinkler,31379.44,4.4516
Arunachal Pradesh,Green Gram,Rabi,18,35,19,7.1,321,Alluvial,25-33,Sprinkler,31166.8,5.1037
Arunachal Pradesh,Green Gram,Rabi,21,41,22,6.8,275,Red,27-35,Sprinkler,31908.08,3.8004
Arunachal Pradesh,Green Gram,Rabi,19,46,21,7.2,255,Red,27-36,Sprinkler,31199.4,4.0216
Arunachal Pradesh,Green Gram,Rabi,22,42,24,6.7,256,Red,29-34,Sprinkler,31240.33,3.8083
Arunachal Pradesh,Green Gram,Rabi,19,39,20,6.5,303,Black,24-37,Sprinkler,31561.24,3.7035
Arunachal Pradesh,Green Gram,Rabi,21,40,19,6.7,311,Black,24-38,Sprinkler,31420.12,3.5947
Arunachal Pradesh,Green Gram,Rabi,21,40,23,6.1,296,Black,22-36,Sprinkler,30856.8,3.7271
Arunachal Pradesh,Green Gram,Zaid,20,37,20,7.0,318,Alluvial,23-36,Sprinkler,31474.2,4.8382
